PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size
1,0,3,1,-0.5657364610748746,1,0,-0.5024451714361923,2,0.059159876663617696
2,1,1,0,0.6638610320657843,1,0,0.7868452935884461,0,0.059159876663617696
3,1,3,0,-0.2583370877897099,0,0,-0.4888542575852486,2,-0.5609748304808925
4,1,1,0,0.4333115021019107,1,0,0.4207302360686478,2,0.059159876663617696
5,0,3,1,0.4333115021019107,0,0,-0.4863374216869257,2,-0.5609748304808925
6,0,3,1,-0.10463740114712752,0,0,-0.47811642890864375,1,-0.5609748304808925
7,0,1,1,1.893458525206443,0,0,0.395813560675251,2,-0.5609748304808925
8,0,3,1,-2.1027333275006983,3,1,-0.22408312108167944,2,1.9195639980971482
9,1,3,0,-0.1814872444684187,0,2,-0.4242561406845337,2,0.6792945838081278
10,1,2,0,-1.180535207645204,1,0,-0.04295550208861426,0,0.059159876663617696
11,1,3,0,-1.949033640858116,1,1,-0.312172377522981,2,0.6792945838081278
12,1,1,0,2.200857898491608,0,0,-0.11384570873513637,2,-0.5609748304808925
13,0,3,1,-0.719436147717457,0,0,-0.4863374216869257,2,-0.5609748304808925
14,0,3,1,0.7407108753870755,1,5,-0.01870931177853076,2,3.1598334123861687
15,0,3,0,-1.180535207645204,0,0,-0.4902797934380587,2,-0.5609748304808925
16,1,2,0,1.9703083685277343,0,0,-0.3262666585535892,2,-0.5609748304808925
17,0,3,1,-2.1027333275006983,4,1,-0.06199888922968463,1,2.5396987052416584
18,1,2,1,-0.10463740114712752,0,0,-0.3866707201133388,2,-0.5609748304808925
19,0,3,0,0.12591212881674602,1,0,-0.2859972841804228,2,0.059159876663617696
20,1,3,0,-0.10463740114712752,0,0,-0.5029485386158568,0,-0.5609748304808925
21,0,2,1,0.4333115021019107,0,0,-0.12491978668775715,2,-0.5609748304808925
22,1,2,1,0.35646165878061953,0,0,-0.3866707201133388,2,-0.5609748304808925
23,1,3,0,-1.1036853643239128,0,0,-0.4867562231804066,1,-0.5609748304808925
24,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,2,-0.5609748304808925
25,0,3,0,-1.6416342675729512,3,1,-0.22408312108167944,2,1.9195639980971482
26,1,3,0,0.6638610320657843,1,5,-0.016444159470040135,2,3.1598334123861687
27,0,3,1,-0.10463740114712752,0,0,-0.5029485386158568,0,-0.5609748304808925
28,0,1,1,-0.7962859910387481,3,2,4.647001076532463,2,2.5396987052416584
29,1,3,0,-0.10463740114712752,0,0,-0.48977642625839407,1,-0.5609748304808925
30,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
31,0,1,1,0.8175607187083667,0,0,-0.09027201697708476,0,-0.5609748304808925
32,1,1,0,-0.10463740114712752,1,0,2.301728820789,0,0.059159876663617696
33,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
34,0,2,1,2.8156566450619374,0,0,-0.43700743807979686,2,-0.5609748304808925
35,0,1,1,-0.10463740114712752,1,0,1.0060617003323709,0,0.059159876663617696
36,0,1,1,0.9712604053509489,1,0,0.39858208016340624,2,0.059159876663617696
37,1,3,1,-0.10463740114712752,0,0,-0.5028639729296732,0,-0.5609748304808925
38,0,3,1,-0.6425863043961658,0,0,-0.4863374216869257,2,-0.5609748304808925
39,0,3,0,-0.8731358343600393,2,0,-0.2859972841804228,2,0.6792945838081278
40,1,3,0,-1.180535207645204,1,0,-0.42207354059350805,0,0.059159876663617696
41,0,3,0,0.8175607187083667,1,0,-0.4576454924460446,2,0.059159876663617696
42,0,2,0,-0.1814872444684187,1,0,-0.22559322262067316,2,0.059159876663617696
43,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,0,-0.5609748304808925
44,1,2,0,-2.025883484179407,1,2,0.18876253192945994,0,1.299429290952638
45,1,3,0,-0.7962859910387481,0,0,-0.48977642625839407,1,-0.5609748304808925
46,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,2,-0.5609748304808925
47,0,3,1,-0.10463740114712752,1,0,-0.3363340021468808,1,0.059159876663617696
48,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
49,0,3,1,-0.10463740114712752,2,0,-0.21191774308354583,0,0.6792945838081278
50,0,3,0,-0.8731358343600393,1,0,-0.29002422161773944,2,0.059159876663617696
51,0,3,1,-1.7184841108942424,4,1,0.1506737441786005,2,2.5396987052416584
52,0,3,1,-0.6425863043961658,0,0,-0.4913710934835715,2,-0.5609748304808925
53,1,1,0,1.5092093085999871,1,0,0.8964967865378598,0,0.059159876663617696
54,1,2,0,-0.027787557825836348,1,0,-0.12491978668775715,2,0.059159876663617696
55,0,1,1,2.738806801740646,0,1,0.5995101505357573,0,0.059159876663617696
56,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,2,-0.5609748304808925
57,1,2,0,-0.6425863043961658,0,0,-0.43700743807979686,2,-0.5609748304808925
58,0,3,1,-0.06621247948648194,0,0,-0.5028639729296732,0,-0.5609748304808925
59,1,2,0,-1.8721837975368247,1,2,-0.08968408411123653,2,1.299429290952638
60,0,3,1,-1.4110847376090776,5,2,0.2958951755118318,2,3.779968119530679
61,0,3,1,-0.5657364610748746,0,0,-0.5028639729296732,0,-0.5609748304808925
62,1,1,0,0.6638610320657843,0,0,0.962353321387736,2,-0.5609748304808925
63,0,1,1,1.2018099353148226,1,0,1.0323213593611125,2,0.059159876663617696
64,0,3,1,-1.949033640858116,3,2,-0.08666388103324908,2,2.5396987052416584
65,0,1,1,-0.10463740114712752,0,0,-0.09027201697708476,0,-0.5609748304808925
66,1,3,1,-0.10463740114712752,1,1,-0.3414522396297103,0,0.6792945838081278
67,1,2,0,-0.027787557825836348,0,0,-0.43700743807979686,2,-0.5609748304808925
68,0,3,1,-0.7962859910387481,0,0,-0.4841568350646187,2,-0.5609748304808925
69,1,3,0,-0.9499856776813305,4,2,-0.4888542575852486,2,3.1598334123861687
70,0,3,1,-0.2583370877897099,2,0,-0.47400492578514347,2,0.6792945838081278
71,0,2,1,0.20276197213803718,0,0,-0.43700743807979686,2,-0.5609748304808925
72,0,3,0,-1.0268355210026217,5,2,0.2958951755118318,2,3.779968119530679
73,0,2,1,-0.6425863043961658,0,0,0.8314778546749452,2,-0.5609748304808925
74,0,3,1,-0.2583370877897099,1,0,-0.3573908580066095,0,0.059159876663617696
75,1,3,1,0.20276197213803718,0,0,0.48910360681684706,2,-0.5609748304808925
76,0,3,1,-0.33518693111100106,0,0,-0.494391296561559,2,-0.5609748304808925
77,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
78,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,2,-0.5609748304808925
79,1,2,1,-2.192647644186609,0,2,-0.06451572512800753,2,0.6792945838081278
80,1,3,0,0.04906228549545483,0,0,-0.397241430886295,2,-0.5609748304808925
81,0,3,1,-0.5657364610748746,0,0,-0.46720946885967163,2,-0.5609748304808925
82,1,3,1,-0.027787557825836348,0,0,-0.45714212526638004,2,-0.5609748304808925
83,1,3,0,-0.10463740114712752,0,0,-0.49162277707340374,1,-0.5609748304808925
84,0,1,1,-0.10463740114712752,0,0,0.29992211294914856,2,-0.5609748304808925
85,1,2,0,-0.9499856776813305,0,0,-0.43700743807979686,2,-0.5609748304808925
86,1,3,0,0.27961181545932834,3,0,-0.32928686163157667,2,1.299429290952638
87,0,3,1,-1.0268355210026217,1,3,0.04370821849987721,2,1.9195639980971482
88,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,2,-0.5609748304808925
89,1,1,0,-0.48888661775358344,3,2,4.647001076532463,2,2.5396987052416584
90,0,3,1,-0.41203677443229225,0,0,-0.4863374216869257,2,-0.5609748304808925
91,0,3,1,-0.027787557825836348,0,0,-0.4863374216869257,2,-0.5609748304808925
92,0,3,1,-0.719436147717457,0,0,-0.4902797934380587,2,-0.5609748304808925
93,0,1,1,1.2786597786361138,1,0,0.5833178351003071,2,0.059159876663617696
94,0,3,1,-0.2583370877897099,1,2,-0.23415046467497105,2,1.299429290952638
95,0,3,1,2.277707741812899,0,0,-0.5024451714361923,2,-0.5609748304808925
96,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,2,-0.5609748304808925
97,0,1,1,3.1999058616683933,0,0,0.0493298231623713,0,-0.5609748304808925
98,1,1,1,-0.48888661775358344,0,1,0.6272778976347743,0,0.059159876663617696
99,1,2,0,0.35646165878061953,0,1,-0.18532384824750675,2,0.059159876663617696
100,0,2,1,0.35646165878061953,1,0,-0.12491978668775715,2,0.059159876663617696
101,0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
102,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
103,0,1,1,-0.6425863043961658,0,1,0.907737982394129,2,0.059159876663617696
104,0,3,1,0.27961181545932834,0,0,-0.4741720436887921,2,-0.5609748304808925
105,0,3,1,0.5870111887444931,2,0,-0.4888542575852486,2,0.6792945838081278
106,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
107,1,3,0,-0.6425863043961658,0,0,-0.494391296561559,2,-0.5609748304808925
108,1,3,1,-0.10463740114712752,0,0,-0.4918744606632361,2,-0.5609748304808925
109,0,3,1,0.6638610320657843,0,0,-0.4894421904510968,2,-0.5609748304808925
110,1,3,0,-0.10463740114712752,1,0,-0.1621689579829361,1,0.059159876663617696
111,0,1,1,1.3555096219574048,0,0,0.39858208016340624,2,-0.5609748304808925
112,0,3,0,-1.1421102859845584,1,0,-0.3573908580066095,0,0.059159876663617696
113,0,3,1,-0.5657364610748746,0,0,-0.4863374216869257,2,-0.5609748304808925
114,0,3,0,-0.719436147717457,1,0,-0.4505983519307405,2,0.059159876663617696
115,0,3,0,-0.9499856776813305,0,0,-0.3573083057891445,0,-0.5609748304808925
116,0,3,1,-0.6425863043961658,0,0,-0.4888542575852486,2,-0.5609748304808925
117,0,3,1,3.1614809400077477,0,0,-0.49237782784290063,1,-0.5609748304808925
118,0,2,1,-0.027787557825836348,1,0,-0.22559322262067316,2,0.059159876663617696
119,0,1,1,-0.41203677443229225,0,1,4.335332226633905,0,0.059159876663617696
120,0,3,0,-2.1027333275006983,4,2,-0.01870931177853076,2,3.1598334123861687
121,0,2,1,-0.6425863043961658,2,0,0.8314778546749452,2,0.6792945838081278
122,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,2,-0.5609748304808925
123,0,2,1,0.24118689379868277,1,0,-0.04295550208861426,0,0.059159876663617696
124,1,2,0,0.24118689379868277,0,0,-0.3866707201133388,2,-0.5609748304808925
125,0,1,1,1.893458525206443,0,1,0.907737982394129,2,0.059159876663617696
126,1,3,1,-1.3342348942877864,1,0,-0.42207354059350805,0,0.059159876663617696
127,0,3,1,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
128,1,3,1,-0.41203677443229225,0,0,-0.5046257580584992,2,-0.5609748304808925
129,1,3,0,-0.10463740114712752,1,1,-0.19824427701513722,0,0.6792945838081278
130,0,3,1,1.2018099353148226,0,0,-0.5079822104125026,2,-0.5609748304808925
131,0,3,1,0.27961181545932834,0,0,-0.4894421904510968,0,-0.5609748304808925
132,0,3,1,-0.719436147717457,0,0,-0.5064721088735089,2,-0.5609748304808925
133,0,3,0,1.3555096219574048,1,0,-0.35646868933346404,2,0.059159876663617696
134,1,2,0,-0.027787557825836348,1,0,-0.12491978668775715,2,0.059159876663617696
135,0,2,1,-0.33518693111100106,0,0,-0.3866707201133388,2,-0.5609748304808925
136,0,2,1,-0.48888661775358344,0,0,-0.3454791770670269,0,-0.5609748304808925
137,1,1,0,-0.7962859910387481,0,2,-0.11921562980779811,2,0.6792945838081278
138,0,1,1,0.5870111887444931,1,0,0.4207302360686478,2,0.059159876663617696
139,0,3,1,-1.0268355210026217,0,0,-0.4628462821463391,2,-0.5609748304808925
140,0,1,1,-0.41203677443229225,0,0,0.9462455716384695,0,-0.5609748304808925
141,0,3,0,-0.10463740114712752,0,2,-0.3414522396297103,0,0.6792945838081278
142,1,3,0,-0.5657364610748746,0,0,-0.49237782784290063,2,-0.5609748304808925
143,1,3,0,-0.41203677443229225,1,0,-0.32928686163157667,2,0.059159876663617696
144,0,3,1,-0.7962859910387481,0,0,-0.5125125150294839,1,-0.5609748304808925
145,0,2,1,-0.8731358343600393,0,0,-0.41687275089321363,2,-0.5609748304808925
146,0,2,1,-0.7962859910387481,1,1,0.09152810056801232,2,0.6792945838081278
147,1,3,1,-0.1814872444684187,0,0,-0.49145565916975514,2,-0.5609748304808925
148,0,3,0,-1.56478442425166,2,2,0.04370821849987721,2,1.9195639980971482
149,0,2,1,0.5485862670838475,0,2,-0.12491978668775715,2,0.6792945838081278
150,0,2,1,0.9712604053509489,0,0,-0.3866707201133388,2,-0.5609748304808925
151,0,2,1,1.6629089952425695,0,0,-0.39623469652696586,2,-0.5609748304808925
152,1,1,0,-0.5657364610748746,1,0,0.6925485130875209,2,0.059159876663617696
153,0,3,1,2.00873329018838,0,0,-0.4863374216869257,2,-0.5609748304808925
154,0,3,1,0.8559856403690123,0,2,-0.35646868933346404,2,0.6792945838081278
155,0,3,1,-0.10463740114712752,0,0,-0.5011867534870308,2,-0.5609748304808925
156,0,1,1,1.6629089952425695,0,1,0.5874293382238074,0,0.059159876663617696
157,1,3,0,-1.0268355210026217,0,0,-0.49271407711891657,1,-0.5609748304808925
158,0,3,1,0.04906228549545483,0,0,-0.4863374216869257,2,-0.5609748304808925
159,0,3,1,-0.10463740114712752,0,0,-0.47400492578514347,2,-0.5609748304808925
160,0,3,1,-0.10463740114712752,8,2,0.7519458402879414,2,5.64037224096421
161,0,3,1,1.1249600919935314,0,1,-0.32425318983493084,2,0.059159876663617696
162,1,2,0,0.8175607187083667,0,0,-0.331300330350235,2,-0.5609748304808925
163,0,3,1,-0.2583370877897099,0,0,-0.4918744606632361,2,-0.5609748304808925
164,0,3,1,-0.9499856776813305,0,0,-0.47400492578514347,2,-0.5609748304808925
165,0,3,1,-2.1795831708219895,4,1,0.1506737441786005,2,2.5396987052416584
166,1,3,1,-1.56478442425166,0,2,-0.2351571990343002,2,0.6792945838081278
167,1,1,0,-0.10463740114712752,0,1,0.4589861417231558,2,0.059159876663617696
168,0,3,0,1.2018099353148226,1,4,-0.08666388103324908,2,2.5396987052416584
169,0,1,1,-0.10463740114712752,0,0,-0.12642988822675086,2,-0.5609748304808925
170,0,3,1,-0.10463740114712752,0,0,0.48910360681684706,2,-0.5609748304808925
171,0,1,1,2.4314074284554814,0,0,0.026090367211616904,2,-0.5609748304808925
172,0,3,1,-1.949033640858116,4,1,-0.06199888922968463,1,2.5396987052416584
173,1,3,0,-2.1795831708219895,1,1,-0.4242561406845337,2,0.6792945838081278
174,0,3,1,-0.6425863043961658,0,0,-0.4888542575852486,2,-0.5609748304808925
175,0,1,1,2.0471582118490255,0,0,-0.030371322596999754,0,-0.5609748304808925
176,0,3,1,-0.8731358343600393,1,1,-0.4902797934380587,2,0.6792945838081278
177,0,3,1,-0.10463740114712752,3,1,-0.13565761536436197,2,1.9195639980971482
178,0,1,0,1.5860591519212783,0,0,-0.07030444769415023,0,-0.5609748304808925
179,0,2,1,0.04906228549545483,0,0,-0.3866707201133388,2,-0.5609748304808925
180,0,3,1,0.5101613454232019,0,0,-0.6484216535389205,2,-0.5609748304808925
181,0,3,0,-0.10463740114712752,8,2,0.7519458402879414,2,5.64037224096421
182,0,2,1,-0.10463740114712752,0,0,-0.34539461138084326,0,-0.5609748304808925
183,0,3,1,-1.56478442425166,4,2,-0.016444159470040135,2,3.1598334123861687
184,1,2,1,-2.1795831708219895,2,1,0.13683114673782454,2,1.299429290952638
185,1,3,0,-1.949033640858116,0,2,-0.20495516825442542,2,0.6792945838081278
186,0,1,1,-0.10463740114712752,0,0,0.3583127057902398,2,-0.5609748304808925
187,1,3,0,-0.10463740114712752,1,0,-0.3363340021468808,1,0.059159876663617696
188,1,1,1,1.2018099353148226,0,0,-0.11384570873513637,2,-0.5609748304808925
189,0,3,1,0.8175607187083667,1,1,-0.3363340021468808,1,0.6792945838081278
190,0,3,1,0.5101613454232019,0,0,-0.4894421904510968,2,-0.5609748304808925
191,1,2,0,0.20276197213803718,0,0,-0.3866707201133388,2,-0.5609748304808925
192,0,2,1,-0.7962859910387481,0,0,-0.3866707201133388,2,-0.5609748304808925
193,1,3,0,-0.7962859910387481,1,0,-0.4902797934380587,2,0.059159876663617696
194,1,2,1,-2.025883484179407,1,1,-0.12491978668775715,2,0.6792945838081278
195,1,1,0,1.1249600919935314,0,0,-0.09027201697708476,0,-0.5609748304808925
196,1,1,0,2.200857898491608,0,0,2.301728820789,0,-0.5609748304808925
197,0,3,1,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
198,0,3,1,0.9712604053509489,0,1,-0.47920571548543794,2,0.059159876663617696
199,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
200,0,2,0,-0.41203677443229225,0,0,-0.3866707201133388,2,-0.5609748304808925
201,0,3,1,-0.10463740114712752,0,0,-0.45714212526638004,2,-0.5609748304808925
202,0,3,1,-0.10463740114712752,8,2,0.7519458402879414,2,5.64037224096421
203,0,3,1,0.35646165878061953,0,0,-0.5176307525123133,2,-0.5609748304808925
204,0,3,1,1.2402348569754682,0,0,-0.5029485386158568,0,-0.5609748304808925
205,1,3,1,-0.8731358343600393,0,0,-0.4863374216869257,2,-0.5609748304808925
206,0,3,0,-2.1027333275006983,0,1,-0.43776248884929375,2,0.059159876663617696
207,0,3,1,0.20276197213803718,1,0,-0.32928686163157667,2,0.059159876663617696
208,1,3,1,-0.2583370877897099,0,0,-0.2701412180209885,0,-0.5609748304808925
209,1,3,0,-1.0268355210026217,0,0,-0.49237782784290063,1,-0.5609748304808925
210,1,1,1,0.8175607187083667,0,0,-0.024246350754841113,0,-0.5609748304808925
211,0,3,1,-0.41203677443229225,0,0,-0.5064721088735089,2,-0.5609748304808925
212,1,2,0,0.4333115021019107,0,0,-0.22559322262067316,2,-0.5609748304808925
213,0,3,1,-0.5657364610748746,0,0,-0.5024451714361923,2,-0.5609748304808925
214,0,2,1,0.04906228549545483,0,0,-0.3866707201133388,2,-0.5609748304808925
215,0,3,1,-0.10463740114712752,1,0,-0.49237782784290063,1,0.059159876663617696
216,1,1,0,0.12591212881674602,1,0,1.6323350375212924,0,0.059159876663617696
217,1,3,0,-0.1814872444684187,0,0,-0.4888542575852486,2,-0.5609748304808925
218,0,2,1,0.9712604053509489,1,0,-0.10478509950117394,2,0.059159876663617696
219,1,1,0,0.20276197213803718,0,0,0.8876878608937296,0,-0.5609748304808925
220,0,2,1,0.04906228549545483,0,0,-0.43700743807979686,2,-0.5609748304808925
221,1,3,1,-1.0268355210026217,0,0,-0.4863374216869257,2,-0.5609748304808925
222,0,2,1,-0.1814872444684187,0,0,-0.3866707201133388,2,-0.5609748304808925
223,0,3,1,1.6629089952425695,0,0,-0.4863374216869257,2,-0.5609748304808925
224,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2,-0.5609748304808925
225,1,1,1,0.6638610320657843,1,0,1.163700193253568,2,0.059159876663617696
226,0,3,1,-0.5657364610748746,0,0,-0.4601623283443675,2,-0.5609748304808925
227,1,2,1,-0.7962859910387481,0,0,-0.43700743807979686,2,-0.5609748304808925
228,0,3,1,-0.6810112260568114,0,0,-0.5024451714361923,2,-0.5609748304808925
229,0,2,1,-0.8731358343600393,0,0,-0.3866707201133388,2,-0.5609748304808925
230,0,3,0,-0.10463740114712752,3,1,-0.13565761536436197,2,1.9195639980971482
231,1,1,0,0.4333115021019107,1,0,1.0323213593611125,2,0.059159876663617696
232,0,3,1,-0.027787557825836348,0,0,-0.4918744606632361,2,-0.5609748304808925
233,0,2,1,2.277707741812899,0,0,-0.3766033765200472,2,-0.5609748304808925
234,1,3,0,-1.8721837975368247,4,2,-0.016444159470040135,2,3.1598334123861687
235,0,2,1,-0.41203677443229225,0,0,-0.43700743807979686,2,-0.5609748304808925
236,0,3,0,-0.10463740114712752,0,0,-0.49640476528021726,2,-0.5609748304808925
237,0,2,1,1.1249600919935314,1,0,-0.12491978668775715,2,0.059159876663617696
238,1,2,0,-1.6416342675729512,0,2,-0.11988611489111134,2,0.6792945838081278
239,0,2,1,-0.7962859910387481,0,0,-0.43700743807979686,2,-0.5609748304808925
240,0,2,1,0.27961181545932834,0,0,-0.4012683683236117,2,-0.5609748304808925
241,0,3,0,-0.10463740114712752,1,0,-0.3573908580066095,0,0.059159876663617696
242,1,3,0,-0.10463740114712752,1,0,-0.3363340021468808,1,0.059159876663617696
243,0,2,1,-0.027787557825836348,0,0,-0.43700743807979686,2,-0.5609748304808925
244,0,3,1,-0.5657364610748746,0,0,-0.5049620073345151,2,-0.5609748304808925
245,0,3,1,0.04906228549545483,0,0,-0.5029485386158568,0,-0.5609748304808925
246,0,1,1,1.1249600919935314,2,0,1.163700193253568,1,0.6792945838081278
247,0,3,0,-0.33518693111100106,0,0,-0.4918744606632361,2,-0.5609748304808925
248,1,2,0,-0.41203677443229225,0,2,-0.35646868933346404,2,0.6792945838081278
249,1,1,1,0.5870111887444931,1,1,0.40974072380221066,2,0.6792945838081278
250,0,2,1,1.893458525206443,1,0,-0.12491978668775715,2,0.059159876663617696
251,0,3,1,-0.10463740114712752,0,0,-0.5024451714361923,2,-0.5609748304808925
252,0,3,0,-0.027787557825836348,1,1,-0.43776248884929375,2,0.6792945838081278
253,0,1,1,2.5082572717767726,0,0,-0.11384570873513637,2,-0.5609748304808925
254,0,3,1,0.04906228549545483,1,0,-0.32425318983493084,2,0.059159876663617696
255,0,3,0,0.8944105620296577,0,2,-0.2414492887801075,2,0.6792945838081278
256,1,3,0,-0.027787557825836348,0,2,-0.3414522396297103,0,0.6792945838081278
257,1,1,0,-0.10463740114712752,0,0,0.9462455716384695,0,-0.5609748304808925
258,1,1,0,0.04906228549545483,0,0,1.093228788100527,2,-0.5609748304808925
259,1,1,0,0.4333115021019107,0,0,9.667166525013505,0,-0.5609748304808925
260,1,2,0,1.5860591519212783,0,1,-0.12491978668775715,2,0.059159876663617696
261,0,3,1,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
262,1,3,1,-2.025883484179407,4,2,-0.016444159470040135,2,3.1598334123861687
263,0,1,1,1.7397588385638607,1,1,0.955306180872432,2,0.6792945838081278
264,0,1,1,0.8175607187083667,0,0,-0.6484216535389205,2,-0.5609748304808925
265,0,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
266,0,2,1,0.5101613454232019,0,0,-0.43700743807979686,2,-0.5609748304808925
267,0,3,1,-1.0268355210026217,4,1,0.1506737441786005,2,2.5396987052416584
268,1,3,1,-0.33518693111100106,1,0,-0.4918744606632361,2,0.059159876663617696
269,1,1,0,2.200857898491608,0,1,2.441497778832105,2,0.059159876663617696
270,1,1,0,0.4333115021019107,0,0,2.0825124140450755,2,-0.5609748304808925
271,0,1,1,-0.10463740114712752,0,0,-0.024246350754841113,2,-0.5609748304808925
272,1,3,1,-0.33518693111100106,0,0,-0.6484216535389205,2,-0.5609748304808925
273,1,2,0,0.8944105620296577,0,1,-0.255795253400548,2,0.059159876663617696
274,0,1,1,0.5870111887444931,0,1,-0.05042144409739929,0,0.059159876663617696
275,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1,-0.5609748304808925
276,1,1,0,2.585107115098064,1,0,0.921244330558889,2,0.059159876663617696
277,0,3,0,1.2018099353148226,0,0,-0.49237782784290063,2,-0.5609748304808925
278,0,2,1,-0.10463740114712752,0,0,-0.6484216535389205,2,-0.5609748304808925
279,0,3,1,-1.7184841108942424,4,1,-0.06199888922968463,1,2.5396987052416584
280,1,3,0,0.4333115021019107,1,1,-0.24069423801061057,2,0.6792945838081278
281,0,3,1,2.738806801740646,0,0,-0.49237782784290063,1,-0.5609748304808925
282,0,3,1,-0.10463740114712752,0,0,-0.4902797934380587,2,-0.5609748304808925
283,0,3,1,-1.0268355210026217,0,0,-0.45714212526638004,2,-0.5609748304808925
284,1,3,1,-0.7962859910387481,0,0,-0.4863374216869257,2,-0.5609748304808925
285,0,1,1,-0.10463740114712752,0,0,-0.12491978668775715,2,-0.5609748304808925
286,0,3,1,0.27961181545932834,0,0,-0.47400492578514347,0,-0.5609748304808925
287,1,3,1,0.04906228549545483,0,0,-0.45714212526638004,2,-0.5609748304808925
288,0,3,1,-0.5657364610748746,0,0,-0.4894421904510968,2,-0.5609748304808925
289,1,2,1,0.9712604053509489,0,0,-0.3866707201133388,2,-0.5609748304808925
290,1,3,0,-0.5657364610748746,0,0,-0.49237782784290063,1,-0.5609748304808925
291,1,1,0,-0.2583370877897099,0,0,0.9391984311231651,2,-0.5609748304808925
292,1,1,0,-0.7962859910387481,1,0,1.1854295476653287,0,0.059159876663617696
293,0,2,1,0.5101613454232019,0,0,-0.3891875560116617,0,-0.5609748304808925
294,0,3,0,-0.41203677443229225,0,0,-0.4702296719376591,2,-0.5609748304808925
295,0,3,1,-0.41203677443229225,0,0,-0.4894421904510968,2,-0.5609748304808925
296,0,1,1,-0.10463740114712752,0,0,-0.09027201697708476,0,-0.5609748304808925
297,0,3,1,-0.45046169609293785,0,0,-0.5028639729296732,0,-0.5609748304808925
